0,1
AAVE-USD,XEC-USD
FORTH-USD,ZEN-USD
ANKR-USD,QTUM-USD
AXS-USD,REQ-USD
BICO-USD,TLM-USD
BICO-USD,DIA-USD
BICO-USD,DAR-USD
BTC-USD,WBTC-USD
CELO-USD,DASH-USD
CELO-USD,MANA-USD
CELO-USD,FLUX-USD
CELO-USD,DAR-USD
CELO-USD,MATIC-USD
CELO-USD,POLYX-USD
CLV-USD,SLP-USD
CLV-USD,VITE-USD
COTI-USD,1INCH-USD
DIA-USD,BICO-USD
DGB-USD,ONE-USD
ETC-USD,BAL-USD
ETC-USD,EGLD-USD
GTC-USD,PROM-USD
ONE-USD,AVAX-USD
ONE-USD,CRV-USD
ONE-USD,DGB-USD
ONE-USD,EOS-USD
MIOTA-USD,SAND-USD
LSK-USD,ONE-USD
LTO-USD,LOKA-USD
POND-USD,FORTH-USD
POND-USD,COTI-USD
POND-USD,FLUX-USD
POND-USD,GTC-USD
POND-USD,LOKA-USD
POND-USD,LTO-USD
POND-USD,DAR-USD
POND-USD,ROSE-USD
POND-USD,POLYX-USD
POND-USD,REN-USD
POND-USD,T-USD
POND-USD,VOXEL-USD
NMR-USD,FLUX-USD
NMR-USD,ONE-USD
NMR-USD,TRAC-USD
ROSE-USD,ANKR-USD
ROSE-USD,FIL-USD
ONT-USD,FIL-USD
ONT-USD,SYS-USD
POLYX-USD,WAXP-USD
PROM-USD,ADX-USD
PROM-USD,TLM-USD
PROM-USD,ALPINE-USD
PROM-USD,API3-USD
PROM-USD,BICO-USD
PROM-USD,BOSON-USD
PROM-USD,CELO-USD
PROM-USD,CLV-USD
PROM-USD,COTI-USD
PROM-USD,DIA-USD
PROM-USD,JAM-USD
PROM-USD,GTC-USD
PROM-USD,HBAR-USD
PROM-USD,LTO-USD
PROM-USD,POND-USD
PROM-USD,DAR-USD
PROM-USD,NEAR-USD
PROM-USD,QNT-USD
PROM-USD,REEF-USD
PROM-USD,SHIB-USD
PROM-USD,SKL-USD
PROM-USD,WAVES-USD
RVN-USD,REQ-USD
REQ-USD,BAL-USD
REQ-USD,BOND-USD
REQ-USD,ATOM-USD
REQ-USD,EOS-USD
RARE-USD,ANT-USD
USDT-USD,PORTO-USD
SAND-USD,REQ-USD
TFUEL-USD,MATIC-USD
T-USD,LSK-USD
UNI-USD,GTC-USD
UNI-USD,PROM-USD
WAVES-USD,RARE-USD
WAXP-USD,THETA-USD
WBTC-USD,BTC-USD
